k,k_domain,q_line,q_speed,dataset
0.18,0.45119999999999993,0.3,0.34423700536273477,"colony 800, 10 mm bridge"
0.352,0.6115999999999999,0.5,0.5107198191530847,"colony 800, 10 mm bridge"
0.104,0.3792,0.2,0.2305542499722334,"colony 800, 10 mm bridge"
0.676,0.794,0.7,0.7371393124036607,"colony 800, 10 mm bridge"
0.084,0.2484,0.1,0.1695148032756493,"colony 800, 10 mm bridge"
0.06,0.32320000000000004,0.1,0.20984130773170417,"colony 800, 10 mm bridge"
0.3,0.7704,0.6,0.5412893814910469,"colony 800, 10 mm bridge"
0.272,0.7323999999999999,0.4,0.4036267438799496,"colony 800, 10 mm bridge"
0.6,0.6764,0.2,0.3797958765577299,"colony 800, 10 mm bridge"
0.352,0.6336,0.4,0.5304103195716866,"colony 800, 10 mm bridge"
0.312,0.5468,0.5,0.5090531704864153,"colony 800, 10 mm bridge"
0.256,0.5599999999999999,0.5,0.5182627446150333,"colony 800, 10 mm bridge"
0.212,0.5704,0.4,0.44817032111487015,"colony 800, 10 mm bridge"
0.272,0.5888,0.5,0.5241032818410245,"colony 800, 10 mm bridge"
0.28,0.6604,0.5,0.4816087483471849,"colony 800, 10 mm bridge"
0.136,0.47519999999999996,0.3,0.29535498553407047,"colony 800, 10 mm bridge"
0.176,0.6012,0.3,0.31466325743469864,"colony 800, 10 mm bridge"
0.228,0.49640000000000006,0.3,0.378363350688212,"colony 800, 10 mm bridge"
0.26,0.8124,0.5,0.5215468578461115,"colony 800, 10 mm bridge"
1.508,1.0184,0.7,0.8405703106666794,"colony 800, 10 mm bridge"
0.34,0.8311999999999999,0.6,0.6931783567855518,"colony 800, 10 mm bridge"
0.432,0.8468,0.7,0.7944116171275319,"colony 800, 10 mm bridge"
0.724,0.9936,1.2,1.2075808507828798,"colony 800, 10 mm bridge"
0.324,0.6416000000000001,0.5,0.5981247911533906,"colony 800, 10 mm bridge"
0.1,0.2312,0.2,0.19393651812239837,"colony 800, 10 mm bridge"
0.052,0.1992,0.1,0.1239050583884447,"colony 800, 10 mm bridge"
0.328,0.6504,0.7,0.7040617555852734,"colony 800, 10 mm bridge"
0.084,0.312,0.2,0.2844513366007637,"colony 800, 10 mm bridge"
0.328,0.488,0.4,0.3841849787911913,"colony 800, 10 mm bridge"
0.096,0.2736,0.2,0.21091776803719767,"colony 800, 10 mm bridge"
0.404,0.504,0.7,0.6317908001355091,"colony 800, 10 mm bridge"
0.024,0.16040000000000001,0.0,0.08373032029588902,"colony 800, 10 mm bridge"
0.3,0.5748,0.6,0.5807823418953418,"colony 800, 10 mm bridge"
0.196,0.32999999999999996,0.4,0.4119918792779228,"colony 800, 10 mm bridge"
0.20689655172413793,0.24137931034482757,0.3694581280788178,0.38055720338143845,"colony 800, 10 mm bridge"
0.204,0.2848,0.4,0.37107116526503253,"colony 800, 10 mm bridge"
0.536,0.6556,0.8,0.775250693213972,"colony 800, 10 mm bridge"
0.092,0.3536,0.2,0.32636586714951316,"colony 800, 10 mm bridge"
0.052,0.3992,0.1,0.1482830772903495,"colony 800, 10 mm bridge"
0.228,0.5948,0.4,0.3980274869577163,"colony 800, 10 mm bridge"
0.364,0.6412,0.5,0.4450812059525721,"colony 800, 10 mm bridge"
0.104,0.5708,0.2,0.35081983284763135,"colony 800, 10 mm bridge"
0.1,0.3168,0.2,0.1475808260773198,"colony 800, 10 mm bridge"
0.252,0.708,0.4,0.4836644759074807,"colony 800, 10 mm bridge"
0.308,0.7172,0.6,0.6138335356024333,"colony 800, 10 mm bridge"
0.156,0.3624,0.3,0.3791770940767983,"colony 800, 10 mm bridge"
0.344,0.45359999999999995,0.5,0.4468044296462821,"colony 800, 10 mm bridge"
0.212,0.4728,0.4,0.4075139390934186,"colony 800, 10 mm bridge"
0.196,0.49640000000000006,0.4,0.4323411206731679,"colony 800, 10 mm bridge"
0.228,0.5532,0.5,0.4303242585198523,"colony 800, 10 mm bridge"
0.324,0.562,0.3,0.26050967986652557,"colony 800, 10 mm bridge"
0.084,0.5136000000000001,0.2,0.29905361576379486,"colony 800, 10 mm bridge"
0.096,0.434,0.2,0.20504353678661474,"colony 800, 10 mm bridge"
0.208,0.5764,0.3,0.3445398413677022,"colony 800, 10 mm bridge"
0.088,0.36360000000000003,0.1,0.0997424382398323,"colony 800, 10 mm bridge"
0.228,0.4772,0.5,0.4046975509580752,"colony 800, 10 mm bridge"
0.12,0.3984,0.2,0.24838355337849516,"colony 800, 10 mm bridge"
0.168,0.40800000000000003,0.3,0.2761085705741097,"colony 800, 10 mm bridge"
0.096,0.348,0.1,0.16636172560369022,"colony 800, 10 mm bridge"
0.108,0.3204,0.2,0.17755825045960993,"colony 800, 10 mm bridge"
0.052,0.262,0.1,0.12639943764791103,"colony 800, 10 mm bridge"
0.1,0.304,0.2,0.17977097722508964,"colony 800, 10 mm bridge"
0.14,0.45439999999999997,0.3,0.32598966955324493,"colony 800, 10 mm bridge"
0.216,0.4704,0.4,0.36699168302517426,"colony 800, 10 mm bridge"
0.22,0.5272,0.4,0.39574678299881194,"colony 800, 10 mm bridge"
0.332,0.6808,0.5,0.571415024274176,"colony 800, 10 mm bridge"
0.108,0.38039999999999996,0.2,0.16818419988154626,"colony 800, 10 mm bridge"
0.1,0.40679999999999994,0.2,0.172520943247222,"colony 800, 10 mm bridge"
0.368,0.8028000000000001,0.4,0.4489990151474088,"colony 800, 10 mm bridge"
0.392,0.6752,0.4,0.38004648835690624,"colony 800, 10 mm bridge"
0.14,0.6268,0.3,0.2953420097706016,"colony 800, 10 mm bridge"
0.2,0.716,0.3,0.35518282943770346,"colony 800, 10 mm bridge"
0.764,0.9484,0.8,0.7011932784424657,"colony 800, 10 mm bridge"
0.328,0.7192000000000001,0.2,0.3243139496154429,"colony 800, 10 mm bridge"
0.184,0.5519999999999999,0.2,0.2527011325873692,"colony 800, 10 mm bridge"
0.164,0.546,0.3,0.2884696757591751,"colony 800, 10 mm bridge"
0.304,0.534,0.4,0.42749161849135797,"colony 800, 10 mm bridge"
0.344,0.4096,0.3,0.2666544167227662,"colony 800, 10 mm bridge"
0.204,0.4288,0.4,0.38741156001299204,"colony 800, 10 mm bridge"
0.0,0.10640000000000001,0.0,0.008301372801169653,"colony 800, 10 mm bridge"
0.244,0.3544,0.4,0.40120467926949976,"colony 800, 10 mm bridge"
0.116,0.3772,0.2,0.2504020951151992,"colony 800, 10 mm bridge"
0.132,0.4,0.2,0.1662104555232803,"colony 800, 10 mm bridge"
0.268,0.5940000000000001,0.4,0.37962739617450075,"colony 800, 10 mm bridge"
0.256,0.8328,0.4,0.4922895009105826,"colony 800, 10 mm bridge"
0.62,1.0856,0.9,0.809836218776849,"colony 800, 10 mm bridge"
1.012,1.1587999999999998,1.0,0.7988721045355244,"colony 800, 10 mm bridge"
0.596,0.9571999999999999,0.6,0.6337822952013302,"colony 800, 10 mm bridge"
0.644,0.5992,0.4,0.35683392588627344,"colony 800, 10 mm bridge"
0.476,0.7552,0.6,0.5729315265300124,"colony 800, 10 mm bridge"
